frame_idx,time_sec,measure_active,angle_deg,angular_velocity_deg_s
0,0.0000,0,7.0064,
1,0.0333,0,7.3029,
2,0.0667,0,7.0122,
3,0.1000,0,6.9171,
4,0.1333,0,6.3332,
5,0.1667,0,6.3671,
6,0.2000,0,6.7797,
7,0.2333,0,6.8185,
8,0.2667,0,9.8525,
9,0.3000,0,9.0510,
10,0.3333,0,11.4740,
11,0.3667,0,11.3396,
12,0.4000,0,11.6421,
13,0.4333,0,11.5593,
14,0.4667,0,12.5978,
15,0.5000,0,9.7052,
16,0.5333,0,9.6400,
17,0.5667,0,7.9850,
18,0.6000,0,7.3230,
19,0.6333,0,7.5110,
20,0.6667,0,11.4470,
21,0.7000,0,9.5794,
22,0.7333,0,11.5265,
23,0.7667,0,7.0999,
24,0.8000,0,7.2628,
25,0.8333,0,7.8126,
26,0.8667,0,9.6137,
27,0.9000,0,10.6072,
28,0.9333,0,11.9920,
29,0.9667,0,12.7390,
30,1.0000,0,12.7226,
31,1.0333,0,14.2990,
32,1.0667,0,14.6477,
33,1.1000,0,13.2542,
34,1.1333,0,12.9391,
35,1.1667,0,11.5152,
36,1.2000,0,12.5630,
37,1.2333,0,14.0547,
38,1.2667,0,16.7968,
39,1.3000,0,16.6067,
40,1.3333,0,18.1362,
41,1.3667,0,14.9455,
42,1.4000,0,5.9470,
43,1.4333,0,24.6660,
44,1.4667,0,19.3171,
45,1.5000,0,20.9718,
46,1.5333,0,21.4365,
47,1.5667,0,25.9280,
48,1.6000,0,26.0617,
49,1.6333,0,27.7442,
50,1.6667,0,26.6446,
51,1.7000,0,25.7757,
52,1.7333,0,27.8931,
53,1.7667,0,27.1141,
54,1.8000,0,22.3421,
55,1.8333,0,19.5779,
56,1.8667,0,12.9529,
57,1.9000,0,1.2553,
58,1.9333,0,9.9712,
59,1.9667,0,26.8332,
60,2.0000,1,42.1357,507.6014
61,2.0333,1,60.6733,279.3388
62,2.0667,1,60.7583,166.0674
63,2.1000,1,71.7444,400.2405
64,2.1333,1,87.4410,511.1598
65,2.1667,1,105.8217,442.4328
66,2.2000,1,116.9365,307.2624
67,2.2333,1,126.3059,292.7584
68,2.2667,1,136.4538,183.8121
69,2.3000,1,138.5600,17.4402
70,2.3333,1,137.6164,-17.1694
71,2.3667,1,137.4154,-71.0764
72,2.4000,1,132.8780,-142.2062
73,2.4333,1,127.9350,-157.4534
74,2.4667,1,122.3811,-532.3781
75,2.5000,1,92.4431,-702.3532
76,2.5333,1,75.5576,-448.7368
77,2.5667,1,62.5273,-402.9004
78,2.6000,1,48.6975,-466.9080
79,2.6333,1,31.4001,-431.7879
80,2.6667,0,19.9117,
81,2.7000,0,8.6868,
82,2.7333,0,1.1114,
83,2.7667,0,8.0978,
84,2.8000,0,13.2660,
85,2.8333,0,12.8421,
86,2.8667,0,12.3535,
87,2.9000,0,11.0333,
88,2.9333,0,8.9454,
89,2.9667,0,8.0552,
90,3.0000,0,8.3380,
91,3.0333,0,10.0038,
92,3.0667,0,9.5449,
93,3.1000,0,8.8664,
94,3.1333,0,9.1605,
95,3.1667,0,9.0395,
96,3.2000,0,8.4572,
97,3.2333,0,8.0127,
98,3.2667,0,9.7447,
99,3.3000,0,9.7617,
100,3.3333,0,9.6852,
101,3.3667,0,9.4837,
102,3.4000,0,9.7240,
103,3.4333,0,10.9079,
104,3.4667,0,11.0543,
105,3.5000,0,8.9303,
106,3.5333,0,8.2009,
107,3.5667,0,9.0410,
108,3.6000,0,9.9252,
109,3.6333,0,10.5968,
110,3.6667,0,9.4708,
111,3.7000,0,9.2594,
112,3.7333,0,9.0029,
113,3.7667,0,8.7442,
114,3.8000,0,10.1492,
115,3.8333,0,9.1779,
116,3.8667,0,8.4669,
117,3.9000,0,10.7940,
118,3.9333,0,9.4013,
119,3.9667,0,10.4412,
120,4.0000,0,13.5878,
121,4.0333,0,13.9754,
122,4.0667,0,13.9338,
123,4.1000,0,14.7986,
124,4.1333,0,17.1254,
125,4.1667,0,18.8633,
126,4.2000,0,15.9136,
127,4.2333,0,17.7875,
128,4.2667,0,16.1280,
129,4.3000,0,17.4944,
130,4.3333,0,18.8954,
131,4.3667,0,19.2426,
132,4.4000,0,20.2555,
133,4.4333,0,20.4147,
134,4.4667,0,21.5758,
135,4.5000,0,23.4351,
136,4.5333,0,21.1455,
137,4.5667,0,22.4478,
138,4.6000,0,20.8213,
139,4.6333,0,12.0613,
140,4.6667,0,1.4062,
141,4.7000,0,14.6759,
142,4.7333,0,27.6193,
143,4.7667,1,40.2554,346.7317
144,4.8000,1,50.7347,410.2981
145,4.8333,1,67.6086,479.4260
146,4.8667,1,82.6964,664.0974
147,4.9000,1,111.8817,506.8212
148,4.9333,1,116.4845,197.8774
149,4.9667,1,125.0736,263.0886
150,5.0000,1,134.0238,303.2231
151,5.0333,1,145.2884,167.0533
152,5.0667,1,145.1606,41.8811
153,5.1000,1,148.0805,78.1816
154,5.1333,1,150.3728,-66.8505
155,5.1667,1,143.6238,-212.4535
156,5.2000,1,136.2092,-280.1587
157,5.2333,1,124.9466,-332.9836
158,5.2667,1,114.0103,-179.0634
159,5.3000,1,113.0090,-446.4990
160,5.3333,1,84.2437,-698.8074
161,5.3667,1,66.4218,-541.3174
162,5.4000,1,48.1559,-459.6786
163,5.4333,1,35.7766,-411.8354
164,5.4667,0,20.7002,
165,5.5000,0,3.8496,
166,5.5333,0,7.4507,
167,5.5667,0,10.5851,
168,5.6000,0,9.8266,
169,5.6333,0,9.7697,
170,5.6667,0,9.1282,
171,5.7000,0,11.6666,
172,5.7333,0,12.8954,
173,5.7667,0,12.8673,
174,5.8000,0,12.9262,
175,5.8333,0,10.9244,
176,5.8667,0,10.2906,
177,5.9000,0,11.1739,
178,5.9333,0,11.7691,
179,5.9667,0,12.2272,
180,6.0000,0,10.3280,
181,6.0333,0,9.9741,
182,6.0667,0,10.4378,
183,6.1000,0,10.3821,
184,6.1333,0,11.7310,
185,6.1667,0,11.4993,
186,6.2000,0,10.8231,
187,6.2333,0,11.2109,
188,6.2667,0,11.7241,
189,6.3000,0,11.8730,
190,6.3333,0,10.7780,
191,6.3667,0,11.9655,
192,6.4000,0,10.9104,
193,6.4333,0,14.0183,
194,6.4667,0,9.3546,
195,6.5000,0,18.3066,
196,6.5333,0,17.4149,
197,6.5667,0,16.4660,
198,6.6000,0,15.1411,
199,6.6333,0,16.6530,
200,6.6667,0,15.5191,
201,6.7000,0,18.9505,
202,6.7333,0,17.7148,
203,6.7667,0,15.4101,
204,6.8000,0,17.4720,
205,6.8333,0,21.3877,
206,6.8667,0,21.1730,
207,6.9000,0,17.0454,
208,6.9333,0,16.7369,
209,6.9667,0,7.0594,
210,7.0000,0,3.5155,
211,7.0333,0,19.7292,
212,7.0667,0,19.5950,
213,7.1000,1,32.9479,449.8861
