frame_idx,time_sec,point_type,point_id,name,x,y,thigh_measure_active,thigh_segments_angle_deg,thigh_segments_angular_velocity_deg_s
0,0.0000,human,0,nose,499.57,180.47,,,
0,0.0000,human,1,left_eye_inner,503.30,176.25,,,
0,0.0000,human,2,left_eye,505.50,176.32,,,
0,0.0000,human,3,left_eye_outer,507.47,176.45,,,
0,0.0000,human,4,right_eye_inner,497.90,176.23,,,
0,0.0000,human,5,right_eye,496.51,176.29,,,
0,0.0000,human,6,right_eye_outer,495.23,176.40,,,
0,0.0000,human,7,left_ear,510.60,178.74,,,
0,0.0000,human,8,right_ear,495.15,178.77,,,
0,0.0000,human,9,mouth_left,504.15,186.16,,,
0,0.0000,human,10,mouth_right,497.14,185.81,,,
0,0.0000,human,11,left_shoulder,525.77,206.03,,,
0,0.0000,human,12,right_shoulder,482.68,211.14,,,
0,0.0000,human,13,left_elbow,526.35,247.52,,,
0,0.0000,human,14,right_elbow,478.84,251.25,,,
0,0.0000,human,15,left_wrist,529.91,283.11,,,
0,0.0000,human,16,right_wrist,474.95,283.20,,,
0,0.0000,human,17,left_pinky,532.88,294.77,,,
0,0.0000,human,18,right_pinky,472.94,293.03,,,
0,0.0000,human,19,left_index,529.81,294.12,,,
0,0.0000,human,20,right_index,476.01,292.64,,,
0,0.0000,human,21,left_thumb,528.08,290.36,,,
0,0.0000,human,22,right_thumb,477.73,289.33,,,
0,0.0000,human,23,left_hip,514.46,280.53,,,
0,0.0000,human,24,right_hip,488.70,282.18,,,
0,0.0000,human,25,left_knee,514.62,338.61,,,
0,0.0000,human,26,right_knee,495.87,339.28,,,
0,0.0000,human,27,left_ankle,516.13,384.06,,,
0,0.0000,human,28,right_ankle,500.53,383.36,,,
0,0.0000,human,29,left_heel,515.03,388.55,,,
0,0.0000,human,30,right_heel,501.84,387.35,,,
0,0.0000,human,31,left_foot_index,513.62,400.81,,,
0,0.0000,human,32,right_foot_index,498.34,398.46,,,
0,0.0000,measurement,thigh_segments,left_hip_left_knee_vs_right_hip_right_knee,,,0,7.0064,
1,0.0333,human,0,nose,499.38,180.49,,,
1,0.0333,human,1,left_eye_inner,503.06,176.10,,,
1,0.0333,human,2,left_eye,505.28,176.12,,,
1,0.0333,human,3,left_eye_outer,507.26,176.18,,,
1,0.0333,human,4,right_eye_inner,497.72,176.20,,,
1,0.0333,human,5,right_eye,496.34,176.28,,,
1,0.0333,human,6,right_eye_outer,495.07,176.40,,,
1,0.0333,human,7,left_ear,510.53,178.40,,,
1,0.0333,human,8,right_ear,495.12,178.80,,,
1,0.0333,human,9,mouth_left,504.09,186.12,,,
1,0.0333,human,10,mouth_right,497.15,185.90,,,
1,0.0333,human,11,left_shoulder,525.92,205.56,,,
1,0.0333,human,12,right_shoulder,482.98,210.93,,,
1,0.0333,human,13,left_elbow,526.30,247.15,,,
1,0.0333,human,14,right_elbow,478.83,251.06,,,
1,0.0333,human,15,left_wrist,529.89,283.00,,,
1,0.0333,human,16,right_wrist,474.98,283.35,,,
1,0.0333,human,17,left_pinky,532.85,294.69,,,
1,0.0333,human,18,right_pinky,473.10,293.50,,,
1,0.0333,human,19,left_index,529.80,294.01,,,
1,0.0333,human,20,right_index,476.26,293.18,,,
1,0.0333,human,21,left_thumb,528.01,290.73,,,
1,0.0333,human,22,right_thumb,477.97,289.84,,,
1,0.0333,human,23,left_hip,514.50,280.21,,,
1,0.0333,human,24,right_hip,488.58,281.98,,,
1,0.0333,human,25,left_knee,514.61,338.12,,,
1,0.0333,human,26,right_knee,496.04,339.33,,,
